Party,Timestamp
AfD,2024-05-30 18:22:38
AfD,2024-05-30 18:24:00
,2024-05-30 18:27:27
Bündnis 90/Die Grünen,2024-05-30 19:28:02
FREIE WÄHLER,2024-06-01 23:56:14
CDU,2024-06-03 22:46:59
   ,2024-06-06 22:40:48
   ,2024-06-06 22:43:40
CDU,2024-06-06 23:21:29
,2024-06-06 23:22:16
CDU,2024-06-06 23:23:00
CDU,2024-06-06 23:24:56
CDU,2024-06-06 23:25:33
CDU,2024-06-06 23:28:19
CDU,2024-06-06 23:28:55
CDU,2024-06-06 23:30:32
CDU,2024-06-06 23:31:20
CDU,2024-06-06 23:31:50
CDU,2024-06-06 23:32:21
CDU,2024-06-06 23:32:23
CDU,2024-06-06 23:32:25
CDU,2024-06-06 23:32:28
CDU,2024-06-06 23:32:30
CDU,2024-06-06 23:32:33
CDU,2024-06-06 23:32:35
CDU,2024-06-06 23:32:37
CDU,2024-06-06 23:32:40
CDU,2024-06-06 23:32:42
CDU,2024-06-06 23:32:45
...

CDU,2024-06-06 23:33:16
CDU,2024-06-06 23:33:18
CDU,2024-06-06 23:33:20
CDU,2024-06-06 23:33:23
CDU,2024-06-06 23:33:25
CDU,2024-06-06 23:33:28
CDU,2024-06-06 23:33:30
CDU,2024-06-06 23:33:32
CDU,2024-06-06 23:33:35
CDU,2024-06-06 23:33:37
CDU,2024-06-06 23:33:40
,2024-06-06 23:40:20
CDU,2024-06-06 23:40:32
Grüne,2024-06-06 23:40:42
AfD,2024-06-06 23:40:51
,2024-06-06 23:41:01
V-Partei³,2024-06-06 23:57:18
Grüne,2025-01-25 12:37:28
CDU,2025-01-25 12:54:15
